city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Wilmington Island,Wilmington Island,GA,Georgia,13051,Chatham,32.0036,-80.9752,15391,715,polygon,FALSE,FALSE,America/New_York,3,31410,1840029461
Northview,Northview,MI,Michigan,26081,Kent,43.0427,-85.6016,15391,577,polygon,FALSE,FALSE,America/Detroit,3,49525,1840004305
Ladson,Ladson,SC,South Carolina,45015,Berkeley,33.0092,-80.1078,15383,845,polygon,FALSE,FALSE,America/New_York,3,29456,1840014254
Mitchell,Mitchell,SD,South Dakota,46035,Davison,43.7296,-98.0337,15372,527,polygon,FALSE,TRUE,America/Chicago,3,57301,1840002642
Berkley,Berkley,MI,Michigan,26125,Oakland,42.4986,-83.1853,15366,2268,polygon,FALSE,TRUE,America/Detroit,2,48072,1840002437
Washington,Washington,NJ,New Jersey,34041,Warren,40.7587,-74.9825,15357,1267,polygon,FALSE,TRUE,America/New_York,3,7882,1840000945
Westbury,Westbury,NY,New York,36059,Nassau,40.7599,-73.5891,15351,2529,polygon,FALSE,TRUE,America/New_York,2,11590,1840005332
Grosse Pointe Woods,Grosse Pointe Woods,MI,Michigan,26163,Wayne,42.4366,-82.8987,15332,1826,polygon,FALSE,TRUE,America/Detroit,3,48236,1840003979
Hueytown,Hueytown,AL,Alabama,1073,Jefferson,33.4237,-87.022,15322,300,polygon,FALSE,TRUE,America/Chicago,3,35023 35061,1840014796
La Grange,La Grange,IL,Illinois,17031,Cook,41.8072,-87.8741,15322,2342,polygon,FALSE,TRUE,America/Chicago,2,60525,1840011255
Alamo,Alamo,CA,California,6013,Contra Costa,37.8546,-122.013,15317,611,polygon,FALSE,FALSE,America/Los_Angeles,3,94507 94529,1840017609
Bradley,Bradley,IL,Illinois,17091,Kankakee,41.1641,-87.8452,15314,853,polygon,FALSE,TRUE,America/Chicago,3,60915 60914,1840011693
Wilkinsburg,Wilkinsburg,PA,Pennsylvania,42003,Allegheny,40.4442,-79.8733,15292,2622,polygon,FALSE,TRUE,America/New_York,2,15221,1840001278
Flowing Wells,Flowing Wells,AZ,Arizona,4019,Pima,32.2937,-111.011,15290,1549,polygon,FALSE,FALSE,America/Phoenix,3,85705,1840027988
Hugo,Hugo,MN,Minnesota,27163,Washington,45.1671,-92.9588,15267,176,polygon,FALSE,TRUE,America/Chicago,3,55110 55038,1840006739
Englewood,Englewood,FL,Florida,12115,Sarasota,26.9603,-82.3535,15252,597,polygon,FALSE,FALSE,America/New_York,3,34223 34224,1840013127
Alpine,Alpine,CA,California,6073,San Diego,32.8439,-116.7585,15233,219,polygon,FALSE,FALSE,America/Los_Angeles,3,91901 91903,1840018014
Fort Mohave,Fort Mohave,AZ,Arizona,4015,Mohave,35.0004,-114.5748,15228,352,polygon,FALSE,TRUE,America/Phoenix,3,86426 86427,1840042961
Lamont,Lamont,CA,California,6029,Kern,35.2651,-118.9159,15222,1280,polygon,FALSE,FALSE,America/Los_Angeles,3,93307 93241,1840017825
Kerman,Kerman,CA,California,6019,Fresno,36.7249,-120.0625,15218,1805,polygon,FALSE,TRUE,America/Los_Angeles,3,93630,1840020324
Bay Village,Bay Village,OH,Ohio,39035,Cuyahoga,41.4851,-81.9315,15194,1284,polygon,FALSE,TRUE,America/New_York,3,44140,1840003394
Gantt,Gantt,SC,South Carolina,45045,Greenville,34.7837,-82.4027,15178,598,polygon,FALSE,FALSE,America/New_York,3,29673 29605,1840013492
Weston,Weston,WI,Wisconsin,55073,Marathon,44.8905,-89.5487,15167,270,polygon,FALSE,TRUE,America/Chicago,3,54476,1840038093
Hereford,Hereford,TX,Texas,48117,Deaf Smith,34.8232,-102.4001,15164,919,polygon,FALSE,TRUE,America/Chicago,3,79045,1840020462
Galion,Galion,OH,Ohio,39033,Crawford,40.7385,-82.7792,15161,521,polygon,FALSE,TRUE,America/New_York,3,44833,1840002752
College Park,College Park,GA,Georgia,13121,Fulton,33.6363,-84.464,15159,527,polygon,FALSE,TRUE,America/New_York,3,30337 30349 30272,1840014737
Grovetown,Grovetown,GA,Georgia,13073,Columbia,33.4504,-82.2073,15152,1108,polygon,FALSE,TRUE,America/New_York,3,30813,1840013748
Pleasanton,Pleasanton,TX,Texas,48013,Atascosa,28.9643,-98.4957,15148,469,polygon,FALSE,TRUE,America/Chicago,3,78064,1840020988
Great Bend,Great Bend,KS,Kansas,20009,Barton,38.3593,-98.8016,15144,550,polygon,FALSE,TRUE,America/Chicago,3,67530,1840001656
Bellair-Meadowbrook Terrace,Bellair-Meadowbrook Terrace,FL,Florida,12019,Clay,30.1796,-81.7375,15117,1422,polygon,FALSE,TRUE,America/New_York,3,32073,1840073845
Seaford,Seaford,NY,New York,36059,Nassau,40.6678,-73.4922,15113,2235,polygon,FALSE,FALSE,America/New_York,2,11783,1840005275
Southchase,Southchase,FL,Florida,12095,Orange,28.3793,-81.3903,15096,842,polygon,FALSE,FALSE,America/New_York,3,32824 32837,1840029005
Damascus,Damascus,MD,Maryland,24031,Montgomery,39.2737,-77.2006,15094,504,polygon,FALSE,FALSE,America/New_York,3,20872 20882,1840005832
West Park,West Park,FL,Florida,12011,Broward,25.984,-80.1923,15089,2650,polygon,FALSE,TRUE,America/New_York,2,33023,1840016002
West Lealman,West Lealman,FL,Florida,12103,Pinellas,27.8191,-82.7385,15076,1850,polygon,FALSE,TRUE,America/New_York,3,33709,1840039134
West Richland,West Richland,WA,Washington,53005,Benton,46.3115,-119.3998,15075,263,polygon,FALSE,TRUE,America/Los_Angeles,3,99320 99353,1840021168
Cloverly,Cloverly,MD,Maryland,24031,Montgomery,39.1065,-76.9993,15062,581,polygon,FALSE,FALSE,America/New_York,3,20905,1840031267
Oldsmar,Oldsmar,FL,Florida,12103,Pinellas,28.0507,-82.6698,15061,650,polygon,FALSE,TRUE,America/New_York,3,34677 34685,1840015111
Park City,Park City,UT,Utah,49043,Summit,40.6505,-111.502,15061,164,polygon,FALSE,TRUE,America/Denver,3,84060 84068,1840020140
Washington Court House,Washington Court House,OH,Ohio,39047,Fayette,39.5383,-83.4279,15059,618,polygon,FALSE,TRUE,America/New_York,3,43160,1840003801
Brooklyn Park,Brooklyn Park,MD,Maryland,24003,Anne Arundel,39.217,-76.6174,15036,1378,polygon,FALSE,FALSE,America/New_York,3,21225,1840031312
